"","date","time","timezone","content","replies","retweets","likes","hashtags"
"8868","2018-04-05","16:39:16","Hora est. Pacífico, Sudamérica","Que @IvanDuque @sergio_fajardo @German_Vargas se recuerden sus relaciones con @JuanManSantos y/o @AlvaroUribeVel en el #DebateCaribe tambien sirve para el #SpamDeHistoriasDeEx","1","0","1","#DebateCaribe,#SpamDeHistoriasDeEx"
"8869","2018-04-05","16:39:16","Hora est. Pacífico, Sudamérica","@elheraldoco porque deben votar por ellos? hablan enfocados en la costa caribe pero llegan al poder y se olvidan de lo que dijeron #DebateCaribe","0","0","0","#DebateCaribe"
"8870","2018-04-05","16:39:16","Hora est. Pacífico, Sudamérica","Duque responde que la costa debe elegirlo presidente porque su Abuela era Cartagenera<Emoji: Rolling on the floor laughing><Emoji: Rolling on the floor laughing><Emoji: Rolling on the floor laughing>Después se ofenden porque se le nota la inexperiencia  #DebateCaribe","0","0","0","#DebateCaribe"
"8871","2018-04-05","16:39:16","Hora est. Pacífico, Sudamérica","Duque cada dia se ve mas preparado y seguro, nadie esperaba que les iba a dar sopa y seco con su discurso, tanto que hace desaperecer el protagonismo de los demas. #DebateCaribe <Emoji: Flag of Colombia>","13","18","38","#DebateCaribe"
"8872","2018-04-05","16:39:15","Hora est. Pacífico, Sudamérica","#DebateCaribe muy liviano @DeLaCalleHum en sus planteamientos, demostrando además, que no sólo por viajar mucho por Colombia se la llega a conocer. Perdió el tiempo todos estos años, viajando con nuestro dinero y no nos conoció.","0","0","1","#DebateCaribe"
"8873","2018-04-05","16:39:15","Hora est. Pacífico, Sudamérica","Petro: ""Yo creí que se iban a pelear por Uribe y fue por Santos""#LordPetrosky #debatecaribe","0","2","6","#LordPetrosky,#debatecaribe"
"8874","2018-04-05","16:39:14","Hora est. Pacífico, Sudamérica","#DebateCaribe ¡Ay sí ¡Ay sí! Ahora todos tienen familia y herencia costeña","0","0","2","#DebateCaribe"
"8875","2018-04-05","16:39:14","Hora est. Pacífico, Sudamérica","Objeción señor Duque, ""queremos ser la República Independiente de la Costa Caribe"". (<Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy>)#DebateCaribe #DebatePresidencial","1","1","0","#DebateCaribe,#DebatePresidencial"
"8876","2018-04-05","16:39:14","Hora est. Pacífico, Sudamérica","Bueno...bueno...allá atrás los señores @sergio_fajardo y @petrogustavo cuál es la charladito, póngale cuidado a @DeLaCalleHum  que cosita!!! Orden en la clase por favor. Ajajaja.. Divinos! #DebateCaribe @German_Vargas y no me lo hagan bouling al chiquito @IvanDuque","0","0","0","#DebateCaribe"
"8877","2018-04-05","16:39:14","Hora est. Pacífico, Sudamérica","@petrogustavo ""Yo pensé que iban a pelear por Uribe y terminaron peleando fue por Santos."" @PetroGustavo #DebateCaribe  pic.twitter.com/0U6p2OuQCj","0","0","0","#DebateCaribe"
